Date,CPI,,,,,,,,,,,,,,,,,,,,,,,SP74641,SP74642,SP74643,SP74644,SP74645,SP74646,SP74647,SP74648
1/1/69,0.015434127,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
2/1/69,0.015489522,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
3/1/69,0.01550481,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
4/1/69,0.015546834,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
5/1/69,0.015546834,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
6/1/69,0.015602236,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
7/1/69,0.015661458,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
8/1/69,0.015678656,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
9/1/69,0.015825754,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/1/69,0.015991959,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/1/69,0.01599387,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/1/69,0.016114224,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
1/1/70,0.016236489,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
2/1/70,0.016234579,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
3/1/70,0.01628234,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
4/1/70,0.016303352,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
5/1/70,0.016337742,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
6/1/70,0.016437085,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
7/1/70,0.016517319,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
8/1/70,0.016593733,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
9/1/70,0.016633854,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/1/70,0.016639584,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/1/70,0.016729376,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/1/70,0.016870743,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
1/1/71,0.017036948,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
2/1/71,0.017107632,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
3/1/71,0.017172585,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
4/1/71,0.017260466,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
5/1/71,0.017296766,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
6/1/71,0.017375091,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
7/1/71,0.017361719,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
8/1/71,0.017520277,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
9/1/71,0.01757759,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/1/71,0.017594788,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/1/71,0.017623441,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/1/71,0.017707502,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
1/1/72,0.017785826,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
2/1/72,0.017841228,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
3/1/72,0.017938661,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
4/1/72,0.018051375,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
5/1/72,0.018087668,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
6/1/72,0.018221394,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
7/1/72,0.018290174,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
8/1/72,0.018410529,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
9/1/72,0.018494583,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/1/72,0.018507954,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
