"Banco de México"

"CPI Consumer Price Index and UDIS"
""

"Date: 03/30/2018 10:51:28"

"Important announcement: Some time series have been changed, please review the metadata for the time series."

"Title","CONSUMER PRICE INDEX (INPC)","Core and complementary subindexes, Consumer price index (INPC), Non-Core, Agricultural","Core and complementary subindexes, Consumer price index (INPC), Core, Services, Education (tuitions)","Core and complementary subindexes, Consumer price index (INPC), Non-Core, Energy and Prices Approved by Government, Energy","Core and complementary subindexes, Consumer price index (INPC), Non-Core, Agricultural, Fruits and Vegetables","Core and complementary subindexes, Consumer price index (INPC), Non-Core, Agricultural, Meat and Eggs","Índice Nacional de Precios al consumidor Agricultural, Incidence monthly","Índice Nacional de Precios al consumidor Fruits and vegetables, Incidence monthly","Índice Nacional de Precios al consumidor Meat and eggs, Incidence monthly","Índice Nacional de Precios al consumidor Administered, Incidence monthly","Índice Nacional de Precios al consumidor Education (tutions), Incidence monthly","Core and complementary subindexes, Consumer price index (INPC), Core, Merchandise, Foods, Beverage and Tobacco","Core and complementary subindexes, Consumer price index (INPC), Core, Services, Housing","Índice Nacional de Precios al consumidor Processed foods, beverage and tobacco, Incidence monthly","Índice Nacional de Precios al consumidor Housing (shelter), Incidence monthly","Core and complementary subindexes, Consumer price index (INPC), Core","Core and complementary subindexes, Consumer price index (INPC), Core, Merchandise","Core and complementary subindexes, Consumer price index (INPC), Core, Merchandise, Non Food Merchandise","Core and complementary subindexes, Consumer price index (INPC), Core, Services","Core and complementary subindexes, Consumer price index (INPC), Core, Services, Other Services","Core and complementary subindexes, Consumer price index (INPC), Non-Core","Core and complementary subindexes, Consumer price index (INPC), Non-Core, Energy and Prices Approved by Government","Core and complementary subindexes, Consumer price index (INPC), Non-Core, Energy and Prices Approved by Government, Prices Approved by Government","","","","","","","",""
"Available period","Jan 1969 - Feb 2018","Jan 1982 - Feb 2018","Jan 1982 - Feb 2018","Jan 1982 - Feb 2018","Jan 1982 - Feb 2018","Jan 1982 - Feb 2018","Jan 2002 - Jun 2011","Jan 2002 - Jun 2011","Jan 2002 - Jun 2011","Jan 2002 - Jun 2011","Jan 2002 - Jun 2011","Jan 1982 - Feb 2018","Jan 1982 - Feb 2018","Jan 2002 - Jun 2011","Jan 2002 - Jun 2011","Jan 1982 - Feb 2018","Jan 1982 - Feb 2018","Jan 1982 - Feb 2018","Jan 1982 - Feb 2018","Jan 1982 - Feb 2018","Jan 1982 - Feb 2018","Jan 1982 - Feb 2018","Jan 1982 - Feb 2018","Dec 2010 - Jun 2011","Dec 2010 - Jun 2011","Dec 2010 - Jun 2011","Dec 2010 - Jun 2011","Dec 2010 - Jun 2011","Dec 2010 - Jun 2011","Dec 2010 - Jun 2011","Dec 2010 - Jun 2011"
"Frequency","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly"
"Data type","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes"
"Unit","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units","Without units"
"Base","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","","","","","","2nd half Dec 2010","2nd half Dec 2010","","","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010","2nd half Dec 2010"
"Announcement","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards.","In agreement with the Law of the National System of Statistical and Geographical Information, published in the Official Gazette of the Federation of April 16, 2008, the National Institute of Statistics and Geography (INEGI, for his acronym in Spanish) has the exclusive right of preparing and publishing the price indices since July 15, 2011.  In view of the above mentioned, the inflation data for June 2011 was the last published by Banco de México. INEGI started this information dissemination from the first fortnight of July 2011 onwards."
"Information type","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes","Indexes"
"Date","SP1","SP56337","SP56339","SP56373","SP56385","SP56386","SP65951","SP65952","SP65953","SP65955","SP65957","SP66540","SP66542","SP66550","SP66552","SP74625","SP74626","SP74627","SP74628","SP74629","SP74630","SP74631","SP74640","SP74641","SP74642","SP74643","SP74644","SP74645","SP74646","SP74647","SP74648"
01/01/1969,0.015434126596,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
02/01/1969,0.015489521629,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
