"Banco de México"

"Production sector"
"Real exchange rate with respect to 111 countries"

"Date: 03/30/2018 10:52:20"

""

"Title","Pesos´s Real Exchange Rate Index P/, Pesos per U.S. Dollar Index","Pesos´s Real Exchange Rate Index P/, Méxican Consumer Price Index"
"Available period","Jan 1990 - Feb 2018","Jan 1990 - Feb 2018"
"Frequency","Monthly","Monthly"
"Data type","Indexes","Indexes"
"Unit","Without units","Without units"
"Base","1990","1990"
"Announcement","",""
"Information type","Levels","Levels"
"Date","SR1501","SR1503"
01/01/1990,94.5894,90.1217
02/01/1990,95.6425,92.1625
03/01/1990,96.6892,93.7872
04/01/1990,97.7804,95.2146
05/01/1990,98.8541,96.8762
06/01/1990,99.8141,99.0099
07/01/1990,100.6805,100.8155
08/01/1990,101.5612,102.5333
09/01/1990,102.4319,103.9948
10/01/1990,103.2991,105.4899
11/01/1990,104.0959,108.2907
12/01/1990,104.5616,111.7037
01/01/1991,104.9979,114.5509
02/01/1991,105.4182,116.5507
03/01/1991,105.8416,118.2128
04/01/1991,106.2704,119.4511
05/01/1991,106.7045,120.6188
06/01/1991,107.1393,121.8845
07/01/1991,107.5713,122.9616
08/01/1991,108.0133,123.8174
09/01/1991,108.4481,125.0508
10/01/1991,108.8797,126.5052
11/01/1991,109.1450,129.6464
12/01/1991,109.1524,132.6980
01/01/1992,109.0970,135.1098
02/01/1992,108.9256,136.7106
03/01/1992,109.0223,138.1019
04/01/1992,109.0810,139.3330
05/01/1992,110.1455,140.2517
06/01/1992,110.8768,141.2010
07/01/1992,110.8060,142.0925
08/01/1992,109.9076,142.9655
09/01/1992,109.7284,144.2091
10/01/1992,110.8772,145.2475
11/01/1992,110.9205,146.4543
12/01/1992,110.8644,148.5397
01/01/1993,110.5739,150.4029
02/01/1993,110.1792,151.6317
03/01/1993,110.5134,152.5154
04/01/1993,110.0583,153.3949
05/01/1993,111.0254,154.2717
06/01/1993,110.9756,155.1370
07/01/1993,111.0574,155.8825
08/01/1993,110.6663,156.7169
09/01/1993,110.6699,157.8775
10/01/1993,110.7232,158.5232
11/01/1993,112.1845,159.2224
12/01/1993,110.4921,160.4365
01/01/1994,110.4850,161.6803
02/01/1994,110.6272,162.5118
03/01/1994,116.7639,163.3474
04/01/1994,119.2349,164.1474
05/01/1994,117.7558,164.9405
06/01/1994,119.4873,165.7659
07/01/1994,120.9166,166.5010
08/01/1994,120.2482,167.2771
09/01/1994,120.8775,168.4667
10/01/1994,121.4464,169.3511
11/01/1994,122.3992,170.2565
12/01/1994,139.7569,171.7497
01/01/1995,196.0215,178.2143
02/01/1995,202.1404,185.7675
03/01/1995,238.2814,196.7187
04/01/1995,223.9779,212.3939
05/01/1995,211.9996,221.2711
06/01/1995,221.2615,228.2936
07/01/1995,218.2821,232.9476
08/01/1995,220.1131,236.8116
09/01/1995,224.0810,241.7101
10/01/1995,237.8974,246.6834
11/01/1995,272.2891,252.7662
12/01/1995,272.3353,261.0014
01/01/1996,266.8279,270.3842
02/01/1996,266.8066,276.6949
03/01/1996,269.2741,282.7860
04/01/1996,265.6369,290.8249
05/01/1996,264.3285,296.1259
06/01/1996,268.1683,300.9479
07/01/1996,271.0269,305.2260
08/01/1996,267.1586,309.2828
09/01/1996,268.2465,314.2279
10/01/1996,273.2384,318.1500
11/01/1996,281.5510,322.9704
12/01/1996,280.0506,333.3113
01/01/1997,278.3866,341.8824
02/01/1997,277.0605,347.6276
03/01/1997,283.1118,351.9539
04/01/1997,281.0105,355.7563
05/01/1997,281.0816,359.0031
06/01/1997,282.5323,362.1884
07/01/1997,280.3706,365.3437
08/01/1997,276.7654,368.5922
09/01/1997,276.5840,373.1830
10/01/1997,277.7289,376.1653
11/01/1997,294.5212,380.3735
12/01/1997,289.2698,385.7028
01/01/1998,290.8342,394.0943
02/01/1998,301.9627,400.9938
03/01/1998,304.6648,405.6911
04/01/1998,302.2116,409.4868
05/01/1998,304.3804,412.7486
06/01/1998,316.2555,417.6271
07/01/1998,316.5755,421.6541
08/01/1998,329.2186,425.7076
09/01/1998,363.2014,432.6121
10/01/1998,360.9572,438.8113
11/01/1998,355.0968,446.5824
12/01/1998,352.4022,457.4788
01/01/1999,359.4700,469.0314
02/01/1999,356.0774,475.3347
03/01/1999,347.3424,479.7508
04/01/1999,335.8491,484.1537
05/01/1999,332.8715,487.0662
06/01/1999,339.2503,490.2664
07/01/1999,333.0403,493.5066
08/01/1999,334.1418,496.2843
09/01/1999,332.0864,501.0797
10/01/1999,339.1987,504.2533
11/01/1999,334.9386,508.7377
12/01/1999,334.7477,513.8341
01/01/2000,337.0298,520.7336
02/01/2000,335.8316,525.3527
03/01/2000,330.5091,528.2652
04/01/2000,333.3144,531.2708
05/01/2000,338.0538,533.2568
06/01/2000,348.3538,536.4155
07/01/2000,336.6565,538.5079
08/01/2000,330.1074,541.4670
09/01/2000,331.7891,545.4224
10/01/2000,338.4129,549.1782
11/01/2000,338.4022,553.8738
12/01/2000,335.7712,559.8701
01/01/2001,347.3690,562.9739
02/01/2001,344.9726,562.6013
03/01/2001,341.9683,566.1658
04/01/2001,332.4611,569.0217
05/01/2001,325.2044,570.3274
06/01/2001,323.3912,571.6764
07/01/2001,325.5351,570.1910
08/01/2001,324.5111,573.5693
09/01/2001,333.6450,578.9086
10/01/2001,333.0904,581.5250
11/01/2001,327.8923,583.7156
12/01/2001,325.9333,584.5240
01/01/2002,325.7271,589.9198
02/01/2002,323.7645,589.5406
03/01/2002,322.8650,592.5562
04/01/2002,324.6711,595.7930
05/01/2002,337.4067,597.0006
06/01/2002,346.2206,599.9114
07/01/2002,348.3538,601.6336
08/01/2002,349.3494,603.9211
09/01/2002,357.0540,607.5536
10/01/2002,358.9597,610.2314
11/01/2002,362.7675,615.1668
12/01/2002,362.5898,617.8446
01/01/2003,376.0293,620.3423
02/01/2003,388.3097,622.0655
03/01/2003,389.0599,625.9922
04/01/2003,378.0274,627.0609
05/01/2003,364.4528,625.0375
06/01/2003,373.1530,625.5539
07/01/2003,371.3077,626.4605
08/01/2003,381.5935,628.3398
09/01/2003,388.4484,632.0803
10/01/2003,397.1557,634.3979
11/01/2003,395.1682,639.6635
12/01/2003,400.4444,642.4134
01/01/2004,388.6368,646.4061
02/01/2004,391.5523,650.2727
03/01/2004,391.0403,652.4762
04/01/2004,400.1102,653.4609
05/01/2004,409.2974,651.8218
06/01/2004,404.5723,652.8665
07/01/2004,407.9322,654.5776
08/01/2004,405.1660,658.6184
09/01/2004,408.3695,664.0641
10/01/2004,404.8354,668.6632
11/01/2004,405.0985,674.3671
12/01/2004,398.5636,675.7601
01/01/2005,400.1849,675.7841
02/01/2005,396.4375,678.0356
03/01/2005,395.8117,681.0917
04/01/2005,395.5842,683.5173
05/01/2005,390.8128,681.8002
06/01/2005,385.1952,681.1457
07/01/2005,380.1856,683.8115
08/01/2005,379.3750,684.6281
09/01/2005,383.2433,687.3720
10/01/2005,385.0956,689.0591
11/01/2005,380.0860,694.0185
12/01/2005,377.5901,698.2814
01/01/2006,375.7342,702.3762
02/01/2006,372.6552,703.4509
03/01/2006,380.6478,704.3335
04/01/2006,391.8296,705.3662
05/01/2006,393.7922,702.2261
06/01/2006,404.8354,702.8325
07/01/2006,392.0501,704.7598
08/01/2006,386.6138,708.3562
09/01/2006,390.1088,715.5071
10/01/2006,388.2564,718.6352
11/01/2006,387.3569,722.4058
12/01/2006,386.2974,726.5847
01/01/2007,388.7648,730.3372
02/01/2007,390.6706,732.3786
03/01/2007,395.5415,733.9637
04/01/2007,390.8270,733.5254
05/01/2007,385.0565,729.9469
06/01/2007,385.1881,730.8235
07/01/2007,383.8548,733.9277
08/01/2007,392.3878,736.9177
09/01/2007,392.6971,742.6396
10/01/2007,385.4725,745.5336
11/01/2007,386.3258,750.7931
12/01/2007,385.7427,753.8972
01/01/2008,388.1498,757.3916
02/01/2008,383.2539,759.6432
03/01/2008,381.6611,765.1489
04/01/2008,374.3689,766.8901
05/01/2008,371.6917,766.0615
06/01/2008,367.2936,769.2317
07/01/2008,364.0404,773.5186
08/01/2008,358.7641,777.9856
09/01/2008,375.9653,783.2873
10/01/2008,443.4971,788.6249
11/01/2008,464.3710,797.5890
12/01/2008,475.4533,803.1128
01/01/2009,492.3985,804.9740
02/01/2009,516.1772,806.7512
03/01/2009,524.0454,811.3924
04/01/2009,479.5918,814.2323
05/01/2009,469.9104,811.8607
06/01/2009,474.4329,813.3557
07/01/2009,475.0729,815.5712
08/01/2009,462.2591,817.5226
09/01/2009,476.3813,821.6234
10/01/2009,471.5423,824.1090
11/01/2009,466.8456,828.3840
12/01/2009,456.8869,831.8123
01/01/2010,455.3438,840.8544
02/01/2010,460.8689,845.7178
03/01/2010,448.4747,851.7218
04/01/2010,435.2556,849.0080
05/01/2010,450.9209,843.6584
06/01/2010,452.3715,843.3942
07/01/2010,456.3073,845.2254
08/01/2010,452.4675,847.5730
09/01/2010,457.2637,852.0160
10/01/2010,442.7754,857.2756
11/01/2010,438.2102,864.1443
12/01/2010,440.9123,868.4252
01/01/2011,431.9029,872.6559
02/01/2011,429.2327,875.9296
03/01/2011,427.2666,877.6100
04/01/2011,418.0616,877.5403
05/01/2011,414.1328,871.0713
06/01/2011,419.2562,871.0277
07/01/2011,415.1319,875.2069
08/01/2011,432.7206,876.5913
09/01/2011,459.6850,878.7419
10/01/2011,479.3003,884.6711
11/01/2011,484.8112,894.2398
12/01/2011,488.9284,901.5883
01/01/2012,480.1500,907.9703
02/01/2012,455.1447,909.8161
03/01/2012,453.5341,910.3385
04/01/2012,464.0262,907.4827
05/01/2012,481.9598,904.6182
06/01/2012,497.1201,908.7887
07/01/2012,476.0506,913.8908
08/01/2012,468.5700,916.6335
09/01/2012,461.7471,920.6734
10/01/2012,457.6833,925.3315
11/01/2012,465.3061,931.6177
12/01/2012,457.4771,933.7596
01/01/2013,452.3181,937.5208
02/01/2013,452.0515,942.1354
03/01/2013,447.0774,949.0485
04/01/2013,434.6477,949.6754
05/01/2013,435.6183,946.5149
06/01/2013,459.9339,945.9402
07/01/2013,454.5652,945.6268
08/01/2013,457.5980,948.3172
09/01/2013,465.4946,951.8869
10/01/2013,462.8707,956.4144
11/01/2013,464.4599,965.3301
12/01/2013,462.5542,970.8675
01/01/2014,469.2491,979.5481
02/01/2014,472.4739,982.0295
03/01/2014,469.8642,984.7199
04/01/2014,464.6270,982.8828
05/01/2014,460.3534,979.7397
06/01/2014,461.6085,981.4375
07/01/2014,461.2600,984.1366
08/01/2014,467.5034,987.6715
09/01/2014,469.3238,992.0335
10/01/2014,479.1581,997.5188
11/01/2014,482.8948,1005.5638
12/01/2014,512.9275,1010.4918
01/01/2015,521.7841,1009.5776
02/01/2015,530.3527,1011.4930
03/01/2015,540.4359,1015.6113
04/01/2015,541.2359,1012.9819
05/01/2015,542.3985,1007.9233
06/01/2015,549.5342,1009.6124
07/01/2015,564.8901,1011.0925
08/01/2015,586.2192,1013.2257
09/01/2015,598.6347,1017.0218
10/01/2015,590.2723,1022.2545
11/01/2015,591.4385,1027.8355
12/01/2015,604.4905,1032.0235
01/01/2016,639.1951,1035.9589
02/01/2016,657.1749,1040.4951
03/01/2016,630.6727,1042.0275
04/01/2016,621.9299,1038.7276
05/01/2016,641.4172,1034.0956
06/01/2016,662.9844,1035.2362
07/01/2016,660.2396,1037.9353
08/01/2016,656.9011,1040.8608
09/01/2016,680.4594,1047.2167
10/01/2016,673.6827,1053.5726
11/01/2016,709.0415,1061.8091
12/01/2016,729.3501,1066.7023
01/01/2017,759.9090,1084.8383
02/01/2017,724.6391,1091.1072
03/01/2017,689.9915,1097.8026
04/01/2017,666.9416,1099.1522
05/01/2017,667.9300,1097.8375
06/01/2017,646.7361,1100.5975
07/01/2017,634.6903,1104.7593
08/01/2017,633.1437,1110.2184
09/01/2017,632.8344,1113.6924
10/01/2017,665.7434,1120.7013
11/01/2017,674.7138,1132.2551
12/01/2017,677.7537,1138.9505
01/01/2018,675.6204,1145.0017
02/01/2018,662.3125,1149.3637

