Date,SR1501,SR1503
1/1/90,94.5894,90.1217
2/1/90,95.6425,92.1625
3/1/90,96.6892,93.7872
4/1/90,97.7804,95.2146
5/1/90,98.8541,96.8762
6/1/90,99.8141,99.0099
7/1/90,100.6805,100.8155
8/1/90,101.5612,102.5333
9/1/90,102.4319,103.9948
10/1/90,103.2991,105.4899
11/1/90,104.0959,108.2907
12/1/90,104.5616,111.7037
1/1/91,104.9979,114.5509
2/1/91,105.4182,116.5507
3/1/91,105.8416,118.2128
4/1/91,106.2704,119.4511
5/1/91,106.7045,120.6188
6/1/91,107.1393,121.8845
7/1/91,107.5713,122.9616
8/1/91,108.0133,123.8174
9/1/91,108.4481,125.0508
10/1/91,108.8797,126.5052
11/1/91,109.145,129.6464
12/1/91,109.1524,132.698
1/1/92,109.097,135.1098
2/1/92,108.9256,136.7106
3/1/92,109.0223,138.1019
4/1/92,109.081,139.333
5/1/92,110.1455,140.2517
6/1/92,110.8768,141.201
7/1/92,110.806,142.0925
8/1/92,109.9076,142.9655
9/1/92,109.7284,144.2091
10/1/92,110.8772,145.2475
11/1/92,110.9205,146.4543
12/1/92,110.8644,148.5397
1/1/93,110.5739,150.4029
2/1/93,110.1792,151.6317
3/1/93,110.5134,152.5154
4/1/93,110.0583,153.3949
5/1/93,111.0254,154.2717
6/1/93,110.9756,155.137
7/1/93,111.0574,155.8825
8/1/93,110.6663,156.7169
9/1/93,110.6699,157.8775
10/1/93,110.7232,158.5232
11/1/93,112.1845,159.2224
12/1/93,110.4921,160.4365
1/1/94,110.485,161.6803
2/1/94,110.6272,162.5118
3/1/94,116.7639,163.3474
4/1/94,119.2349,164.1474
5/1/94,117.7558,164.9405
6/1/94,119.4873,165.7659
7/1/94,120.9166,166.501
8/1/94,120.2482,167.2771
9/1/94,120.8775,168.4667
10/1/94,121.4464,169.3511
11/1/94,122.3992,170.2565
12/1/94,139.7569,171.7497
1/1/95,196.0215,178.2143
2/1/95,202.1404,185.7675
3/1/95,238.2814,196.7187
4/1/95,223.9779,212.3939
5/1/95,211.9996,221.2711
6/1/95,221.2615,228.2936
7/1/95,218.2821,232.9476
8/1/95,220.1131,236.8116
9/1/95,224.081,241.7101
10/1/95,237.8974,246.6834
11/1/95,272.2891,252.7662
12/1/95,272.3353,261.0014
1/1/96,266.8279,270.3842
2/1/96,266.8066,276.6949
3/1/96,269.2741,282.786
4/1/96,265.6369,290.8249
5/1/96,264.3285,296.1259
6/1/96,268.1683,300.9479
7/1/96,271.0269,305.226
8/1/96,267.1586,309.2828
9/1/96,268.2465,314.2279
10/1/96,273.2384,318.15
11/1/96,281.551,322.9704
12/1/96,280.0506,333.3113
1/1/97,278.3866,341.8824
2/1/97,277.0605,347.6276
3/1/97,283.1118,351.9539
4/1/97,281.0105,355.7563
5/1/97,281.0816,359.0031
6/1/97,282.5323,362.1884
7/1/97,280.3706,365.3437
8/1/97,276.7654,368.5922
9/1/97,276.584,373.183
10/1/97,277.7289,376.1653
11/1/97,294.5212,380.3735
12/1/97,289.2698,385.7028
1/1/98,290.8342,394.0943
2/1/98,301.9627,400.9938
3/1/98,304.6648,405.6911
4/1/98,302.2116,409.4868
5/1/98,304.3804,412.7486
6/1/98,316.2555,417.6271
7/1/98,316.5755,421.6541
8/1/98,329.2186,425.7076
9/1/98,363.2014,432.6121
10/1/98,360.9572,438.8113
11/1/98,355.0968,446.5824
12/1/98,352.4022,457.4788
1/1/99,359.47,469.0314
2/1/99,356.0774,475.3347
3/1/99,347.3424,479.7508
4/1/99,335.8491,484.1537
5/1/99,332.8715,487.0662
6/1/99,339.2503,490.2664
7/1/99,333.0403,493.5066
8/1/99,334.1418,496.2843
9/1/99,332.0864,501.0797
10/1/99,339.1987,504.2533
11/1/99,334.9386,508.7377
12/1/99,334.7477,513.8341
1/1/00,337.0298,520.7336
2/1/00,335.8316,525.3527
3/1/00,330.5091,528.2652
4/1/00,333.3144,531.2708
5/1/00,338.0538,533.2568
6/1/00,348.3538,536.4155
7/1/00,336.6565,538.5079
8/1/00,330.1074,541.467
9/1/00,331.7891,545.4224
10/1/00,338.4129,549.1782
11/1/00,338.4022,553.8738
12/1/00,335.7712,559.8701
1/1/01,347.369,562.9739
2/1/01,344.9726,562.6013
3/1/01,341.9683,566.1658
4/1/01,332.4611,569.0217
5/1/01,325.2044,570.3274
6/1/01,323.3912,571.6764
7/1/01,325.5351,570.191
8/1/01,324.5111,573.5693
9/1/01,333.645,578.9086
10/1/01,333.0904,581.525
11/1/01,327.8923,583.7156
12/1/01,325.9333,584.524
1/1/02,325.7271,589.9198
2/1/02,323.7645,589.5406
3/1/02,322.865,592.5562
4/1/02,324.6711,595.793
5/1/02,337.4067,597.0006
6/1/02,346.2206,599.9114
7/1/02,348.3538,601.6336
8/1/02,349.3494,603.9211
9/1/02,357.054,607.5536
