Date,SR16573
1/1/93,10008894.7
4/1/93,10171035.4
7/1/93,10066258.4
10/1/93,10416096.2
1/1/94,10343388.5
4/1/94,10772526.2
7/1/94,10602752.9
10/1/94,10952773.4
1/1/95,10189745.5
4/1/95,9795719
7/1/95,9802904.4
10/1/95,10198513.3
1/1/96,10426430.9
4/1/96,10569227.5
7/1/96,10583112.1
10/1/96,11116526.6
1/1/97,10862932
4/1/97,11460068.1
7/1/97,11408200.9
10/1/97,11887380.1
1/1/98,11827638
4/1/98,12034464.2
7/1/98,11972371.6
10/1/98,12139816.6
1/1/99,12100154.5
4/1/99,12315219.1
7/1/99,12325229.1
10/1/99,12554685.8
1/1/00,12725022
4/1/00,12994568.9
7/1/00,13008792.3
10/1/00,13003302.2
1/1/01,12796119.5
4/1/01,12967530.2
7/1/01,12857408.6
10/1/01,12901429.2
1/1/02,12415541.5
4/1/02,13112362.8
7/1/02,12889950.1
10/1/02,13084104.3
1/1/03,12803326.7
4/1/03,13182931.6
7/1/03,12954912.3
10/1/03,13305703.4
1/1/04,13252637.3
4/1/04,13732337.6
7/1/04,13438257.2
10/1/04,13872028.1
1/1/05,13354792.3
4/1/05,14104834.7
7/1/05,13782142.6
10/1/05,14306520.5
1/1/06,14107961.2
4/1/06,14700503.9
7/1/06,14435867.3
10/1/06,14800896.7
1/1/07,14393731.2
4/1/07,14993341.3
7/1/07,14783297.3
10/1/07,15204934.2
1/1/08,14563430.2
4/1/08,15386333.1
7/1/08,14979493.4
10/1/08,15125054
1/1/09,13752157.1
4/1/09,14012943.9
7/1/09,14231936.8
10/1/09,14882955.6
1/1/10,14371719.7
4/1/10,14998411.8
7/1/10,14921462.2
10/1/10,15499585.1
1/1/11,14902716.4
4/1/11,15413024.6
7/1/11,15525999.4
10/1/11,16139594.1
1/1/12,15619905.2
4/1/12,16027623.7
7/1/12,15952850.6
10/1/12,16638515
1/1/13,15719443.1
4/1/13,16361495.5
7/1/13,16185973.6
10/1/13,16841836
1/1/14,16139077.1
4/1/14,16743309.7
7/1/14,16653202.2
10/1/14,17425687.9
1/1/15,16702149
4/1/15,17244763.4
7/1/15,17310310.4
10/1/15,17894004.1
1/1/16,17203400.7
4/1/16,17812915.4
7/1/16,17668822.7
10/1/16,18480690.3
1/1/17,17766308
4/1/17,18140627.4
7/1/17,17947382.5
10/1/17,18760864.5
