Date,SF1
1/1/00,157161287
2/1/00,150126022
3/1/00,152919896
4/1/00,158846323
5/1/00,157679406
6/1/00,165529481
7/1/00,162172830
8/1/00,157692618
9/1/00,161376238
10/1/00,162822860
11/1/00,175112072
12/1/00,208879867
1/1/01,181718698
2/1/01,175896436
3/1/01,176028084
4/1/01,174570670
5/1/01,178269919
6/1/01,180702903
7/1/01,178256186
8/1/01,178960066
9/1/01,182150763
10/1/01,181038815
11/1/01,193892127
12/1/01,225222732
1/1/02,206861996
2/1/02,202219512
3/1/02,215888760
4/1/02,201136312
5/1/02,209329007
6/1/02,211830242
7/1/02,209417287
8/1/02,210266104
9/1/02,210993609
10/1/02,213941744
11/1/02,227456663
12/1/02,263936897
1/1/03,246101980
2/1/03,241402098
3/1/03,237849553
4/1/03,243730756
5/1/03,246356274
6/1/03,240017485
7/1/03,242514288
8/1/03,242435364
9/1/03,238702501
10/1/03,247925945
11/1/03,260002337
12/1/03,303614089
1/1/04,278373115
2/1/04,273567978
3/1/04,267424553
4/1/04,273090802
5/1/04,276652472
6/1/04,278847001
7/1/04,281999486
8/1/04,277136443
9/1/04,280788968
10/1/04,285219272
11/1/04,294824968
12/1/04,340177672
1/1/05,316646595
2/1/05,307241459
3/1/05,311855795
4/1/05,306993402
5/1/05,307690103
6/1/05,314148930
7/1/05,315321675
8/1/05,306032898
9/1/05,312474667
10/1/05,316469239
11/1/05,327169713
12/1/05,380033691
1/1/06,354740855
2/1/06,346431301
3/1/06,353043830
4/1/06,357800129
5/1/06,358023879
6/1/06,369072338
7/1/06,368681007
8/1/06,363431699
9/1/06,367139801
10/1/06,368270537
11/1/06,395512706
12/1/06,449821289
1/1/07,409947749
2/1/07,399603547
3/1/07,409813851
4/1/07,400645809
5/1/07,407228336
6/1/07,408726848
7/1/07,408166585
8/1/07,410822206
9/1/07,412441187
10/1/07,417007796
11/1/07,431863490
12/1/07,494743458
1/1/08,459689002
2/1/08,447828092
3/1/08,447711242
4/1/08,445503346
5/1/08,451301896
6/1/08,447614269
7/1/08,463302998
8/1/08,462796940
9/1/08,458615354
10/1/08,477702485
11/1/08,504670542
12/1/08,577542277
1/1/09,548576456
2/1/09,539231506
3/1/09,533819278
4/1/09,537331410
5/1/09,536606477
6/1/09,531629602
7/1/09,541061603
8/1/09,529495386
9/1/09,524785931
10/1/09,534520513
11/1/09,547652896
12/1/09,631937880
1/1/10,600421918
2/1/10,584170708
3/1/10,597193947
4/1/10,574362947
5/1/10,582623188
6/1/10,577815451
7/1/10,593182402
8/1/10,584119067
9/1/10,588091817
10/1/10,590029643
11/1/10,605690050
12/1/10,693423114
1/1/11,648030446
2/1/11,638281570
3/1/11,634711772
4/1/11,645582013
5/1/11,637597245
6/1/11,635323256
7/1/11,645656105
8/1/11,635301021
9/1/11,643273709
10/1/11,651531413
11/1/11,675504053
12/1/11,763490940
1/1/12,724693774
2/1/12,711443511
3/1/12,723848484
4/1/12,732243958
5/1/12,742959467
6/1/12,748818171
7/1/12,747220613
8/1/12,737859785
9/1/12,728580289
10/1/12,740223965
11/1/12,758617346
12/1/12,845395608
1/1/13,787097788
2/1/13,778364154
3/1/13,803483379
4/1/13,764627974
5/1/13,772198529
6/1/13,773244201
7/1/13,769509433
8/1/13,769244753
9/1/13,769835448
10/1/13,779988436
11/1/13,821135896
12/1/13,917875175
1/1/14,869142994
2/1/14,864384885
3/1/14,858037679
4/1/14,873152161
5/1/14,875565293
6/1/14,875844658
7/1/14,887166515
8/1/14,886285426
9/1/14,883140826
10/1/14,908610791
11/1/14,944939081
12/1/14,1062892005
1/1/15,1024724921
2/1/15,1025434231
3/1/15,1064272698
4/1/15,1046381607
5/1/15,1057903659
6/1/15,1054390499
7/1/15,1071939313
8/1/15,1078993591
9/1/15,1072556866
10/1/15,1095608243
11/1/15,1118916442
12/1/15,1239327041
1/1/16,1203744198
2/1/16,1190668406
3/1/16,1214340926
4/1/16,1200801859
5/1/16,1221642781
6/1/16,1235273746
7/1/16,1251299734
8/1/16,1243634166
9/1/16,1251257900
10/1/16,1266174904
11/1/16,1306229771
12/1/16,1419753503
1/1/17,1382790720
2/1/17,1367859767
3/1/17,1369314609
4/1/17,1378915378
5/1/17,1374295827
6/1/17,1371216535
7/1/17,1369986826
8/1/17,1353026215
9/1/17,1352869144
10/1/17,1368872328
11/1/17,1405915353
12/1/17,1542611150
1/1/18,1481027340
2/1/18,1475977346
3/1/18,1519655129
