"Banco de México"

"Monetary aggregates and domestic financial assets"
"Monetary Base"

"Date: 04/11/2018 02:15:58"

""

"Title","Banco de México, Assets and Liabilities, Currency in circulation"
"Available period","Dec 1985 - Mar 2018"
"Frequency","Monthly"
"Data type","Nominal Stocks"
"Unit","Thousands of Pesos"
"Base",""
"Announcement",""
"Information type","Levels"
"Date","SF1"
01/01/2000,157161287
02/01/2000,150126022
03/01/2000,152919896
04/01/2000,158846323
05/01/2000,157679406
06/01/2000,165529481
07/01/2000,162172830
08/01/2000,157692618
09/01/2000,161376238
10/01/2000,162822860
11/01/2000,175112072
12/01/2000,208879867
01/01/2001,181718698
02/01/2001,175896436
03/01/2001,176028084
04/01/2001,174570670
05/01/2001,178269919
06/01/2001,180702903
07/01/2001,178256186
08/01/2001,178960066
09/01/2001,182150763
10/01/2001,181038815
11/01/2001,193892127
12/01/2001,225222732
01/01/2002,206861996
02/01/2002,202219512
03/01/2002,215888760
04/01/2002,201136312
05/01/2002,209329007
06/01/2002,211830242
07/01/2002,209417287
08/01/2002,210266104
09/01/2002,210993609
10/01/2002,213941744
11/01/2002,227456663
12/01/2002,263936897
01/01/2003,246101980
02/01/2003,241402098
03/01/2003,237849553
04/01/2003,243730756
05/01/2003,246356274
06/01/2003,240017485
07/01/2003,242514288
08/01/2003,242435364
09/01/2003,238702501
10/01/2003,247925945
11/01/2003,260002337
12/01/2003,303614089
01/01/2004,278373115
02/01/2004,273567978
03/01/2004,267424553
04/01/2004,273090802
05/01/2004,276652472
06/01/2004,278847001
07/01/2004,281999486
08/01/2004,277136443
09/01/2004,280788968
10/01/2004,285219272
11/01/2004,294824968
12/01/2004,340177672
01/01/2005,316646595
02/01/2005,307241459
03/01/2005,311855795
04/01/2005,306993402
05/01/2005,307690103
06/01/2005,314148930
07/01/2005,315321675
08/01/2005,306032898
09/01/2005,312474667
10/01/2005,316469239
11/01/2005,327169713
12/01/2005,380033691
01/01/2006,354740855
02/01/2006,346431301
03/01/2006,353043830
04/01/2006,357800129
05/01/2006,358023879
06/01/2006,369072338
07/01/2006,368681007
08/01/2006,363431699
09/01/2006,367139801
10/01/2006,368270537
11/01/2006,395512706
12/01/2006,449821289
01/01/2007,409947749
02/01/2007,399603547
03/01/2007,409813851
04/01/2007,400645809
05/01/2007,407228336
06/01/2007,408726848
07/01/2007,408166585
08/01/2007,410822206
09/01/2007,412441187
10/01/2007,417007796
11/01/2007,431863490
12/01/2007,494743458
01/01/2008,459689002
02/01/2008,447828092
03/01/2008,447711242
04/01/2008,445503346
05/01/2008,451301896
06/01/2008,447614269
07/01/2008,463302998
08/01/2008,462796940
09/01/2008,458615354
10/01/2008,477702485
11/01/2008,504670542
12/01/2008,577542277
01/01/2009,548576456
02/01/2009,539231506
03/01/2009,533819278
04/01/2009,537331410
05/01/2009,536606477
06/01/2009,531629602
07/01/2009,541061603
08/01/2009,529495386
09/01/2009,524785931
10/01/2009,534520513
11/01/2009,547652896
12/01/2009,631937880
01/01/2010,600421918
02/01/2010,584170708
03/01/2010,597193947
04/01/2010,574362947
05/01/2010,582623188
06/01/2010,577815451
07/01/2010,593182402
08/01/2010,584119067
09/01/2010,588091817
10/01/2010,590029643
11/01/2010,605690050
12/01/2010,693423114
01/01/2011,648030446
02/01/2011,638281570
03/01/2011,634711772
04/01/2011,645582013
05/01/2011,637597245
06/01/2011,635323256
07/01/2011,645656105
08/01/2011,635301021
09/01/2011,643273709
10/01/2011,651531413
11/01/2011,675504053
12/01/2011,763490940
01/01/2012,724693774
02/01/2012,711443511
03/01/2012,723848484
04/01/2012,732243958
05/01/2012,742959467
06/01/2012,748818171
07/01/2012,747220613
08/01/2012,737859785
09/01/2012,728580289
10/01/2012,740223965
11/01/2012,758617346
12/01/2012,845395608
01/01/2013,787097788
02/01/2013,778364154
03/01/2013,803483379
04/01/2013,764627974
05/01/2013,772198529
06/01/2013,773244201
07/01/2013,769509433
08/01/2013,769244753
09/01/2013,769835448
10/01/2013,779988436
11/01/2013,821135896
12/01/2013,917875175
01/01/2014,869142994
02/01/2014,864384885
03/01/2014,858037679
04/01/2014,873152161
05/01/2014,875565293
06/01/2014,875844658
07/01/2014,887166515
08/01/2014,886285426
09/01/2014,883140826
10/01/2014,908610791
11/01/2014,944939081
12/01/2014,1062892005
01/01/2015,1024724921
02/01/2015,1025434231
03/01/2015,1064272698
04/01/2015,1046381607
05/01/2015,1057903659
06/01/2015,1054390499
07/01/2015,1071939313
08/01/2015,1078993591
09/01/2015,1072556866
10/01/2015,1095608243
11/01/2015,1118916442
12/01/2015,1239327041
01/01/2016,1203744198
02/01/2016,1190668406
03/01/2016,1214340926
04/01/2016,1200801859
05/01/2016,1221642781
06/01/2016,1235273746
07/01/2016,1251299734
08/01/2016,1243634166
09/01/2016,1251257900
10/01/2016,1266174904
11/01/2016,1306229771
12/01/2016,1419753503
01/01/2017,1382790720
02/01/2017,1367859767
03/01/2017,1369314609
04/01/2017,1378915378
05/01/2017,1374295827
06/01/2017,1371216535
07/01/2017,1369986826
08/01/2017,1353026215
09/01/2017,1352869144
10/01/2017,1368872328
11/01/2017,1405915353
12/01/2017,1542611150
01/01/2018,1481027340
02/01/2018,1475977346
03/01/2018,1519655129

